Loading workload 100 _1_0 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.64%     77.21MiB / 7.73GiB   0.98%     1.81MB / 524kB    0B / 5.41MB   69
8fef7395547f   secondary2   38.13%    77.25MiB / 7.73GiB   0.98%     1.77MB / 522kB    0B / 5.37MB   69
220160fff8e1   primary      0.95%     79.43MiB / 7.73GiB   1.00%     2.29MB / 4.85MB   0B / 3.33MB   71
5a054c53aef7   secondary3   0.61%     77.46MiB / 7.73GiB   0.98%     1.77MB / 525kB    0B / 5.27MB   71
Loading workload 100 _50_50 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.64%     77.64MiB / 7.73GiB   0.98%     1.85MB / 583kB    0B / 5.44MB   69
8fef7395547f   secondary2   0.63%     77.77MiB / 7.73GiB   0.98%     1.82MB / 581kB    0B / 5.4MB    69
220160fff8e1   primary      0.70%     80.92MiB / 7.73GiB   1.02%     3.63MB / 5.09MB   0B / 3.35MB   71
5a054c53aef7   secondary3   0.56%     77.79MiB / 7.73GiB   0.98%     1.81MB / 582kB    0B / 5.3MB    71
Loading workload 100 _10_90 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.69%     77.57MiB / 7.73GiB   0.98%     2.01MB / 679kB    0B / 5.72MB   67
8fef7395547f   secondary2   0.71%     77.97MiB / 7.73GiB   0.99%     1.97MB / 675kB    0B / 5.66MB   67
220160fff8e1   primary      0.94%     82.72MiB / 7.73GiB   1.04%     5.09MB / 5.57MB   0B / 6.19MB   70
5a054c53aef7   secondary3   0.62%     77.91MiB / 7.73GiB   0.98%     1.96MB / 674kB    0B / 5.57MB   69
Loading workload 500 _1_0 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   1.08%     77.77MiB / 7.73GiB   0.98%     2.12MB / 749kB    0B / 8.6MB    66
8fef7395547f   secondary2   0.99%     78.19MiB / 7.73GiB   0.99%     2.08MB / 746kB    0B / 8.56MB   65
220160fff8e1   primary      1.05%     84.46MiB / 7.73GiB   1.07%     6.55MB / 5.87MB   0B / 6.37MB   69
5a054c53aef7   secondary3   1.21%     78.85MiB / 7.73GiB   1.00%     2.07MB / 741kB    0B / 8.45MB   69
Loading workload 500 _50_50 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.71%     77.85MiB / 7.73GiB   0.98%     2.16MB / 805kB    0B / 8.68MB   65
8fef7395547f   secondary2   0.69%     78.07MiB / 7.73GiB   0.99%     2.12MB / 804kB    0B / 8.63MB   63
220160fff8e1   primary      0.84%     85.72MiB / 7.73GiB   1.08%     7.95MB / 6.62MB   0B / 6.44MB   68
5a054c53aef7   secondary3   0.68%     78.83MiB / 7.73GiB   1.00%     2.11MB / 796kB    0B / 8.53MB   67
Loading workload 500 _10_90 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.86%     79.02MiB / 7.73GiB   1.00%     2.56MB / 974kB    0B / 13MB     66
8fef7395547f   secondary2   0.69%     79.34MiB / 7.73GiB   1.00%     2.53MB / 975kB    0B / 13MB     65
220160fff8e1   primary      0.78%     88.34MiB / 7.73GiB   1.12%     9.95MB / 8.11MB   0B / 9.76MB   69
5a054c53aef7   secondary3   1.23%     79.78MiB / 7.73GiB   1.01%     2.52MB / 966kB    0B / 12.9MB   65
Loading workload 1000 _1_0 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.65%     79.88MiB / 7.73GiB   1.01%     2.91MB / 1.09MB   0B / 13.6MB   66
8fef7395547f   secondary2   0.65%     80.32MiB / 7.73GiB   1.01%     2.87MB / 1.09MB   0B / 13.6MB   66
220160fff8e1   primary      0.76%     90.92MiB / 7.73GiB   1.15%     12MB / 9.18MB     0B / 10.1MB   68
5a054c53aef7   secondary3   0.73%     80.9MiB / 7.73GiB    1.02%     2.85MB / 1.07MB   0B / 13.4MB   67
Loading workload 1000 _50_50 try 1
CONTAINER ID   NAME         CPU %     MEM USAGE / LIMIT    MEM %     NET I/O           BLOCK I/O     PIDS
cf9492c8927c   secondary1   0.79%     81.84MiB / 7.73GiB   1.03%     2.98MB / 1.17MB   0B / 17.7MB   74
8fef7395547f   secondary2   0.96%     82.54MiB / 7.73GiB   1.04%     2.94MB / 1.17MB   0B / 17.7MB   74
220160fff8e1   primary      0.81%     94.06MiB / 7.73GiB   1.19%     13.5MB / 10.6MB   0B / 14MB     77
5a054c53aef7   secondary3   0.68%     82.62MiB / 7.73GiB   1.04%     2.92MB / 1.15MB   0B / 17.5MB   75
Loading workload 1000 _10_90 try 1
